epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,28170.5,1.56052,1.07348,0.91351,0.59452,0.44627,0.49616,0.32326,1.58065,1.08487,0.91356,8.73768e-05,8.73768e-05,8.73768e-05
88,28494.8,1.58787,1.09215,0.91285,0.62571,0.44505,0.50042,0.3262,1.57371,1.09328,0.91448,8.15556e-05,8.15556e-05,8.15556e-05
89,28820.8,1.57086,1.08061,0.9141,0.62248,0.44662,0.50373,0.32974,1.56364,1.08154,0.91294,7.57344e-05,7.57344e-05,7.57344e-05
90,29141.2,1.58466,1.08105,0.91697,0.59619,0.45483,0.49962,0.3271,1.57829,1.07934,0.91412,6.99132e-05,6.99132e-05,6.99132e-05
91,29435.5,1.64258,1.19194,0.9147,0.61364,0.43878,0.48233,0.31207,1.60741,1.12233,0.91853,6.4092e-05,6.4092e-05,6.4092e-05
92,29731,1.59425,1.12486,0.9144,0.6073,0.44957,0.49061,0.31291,1.6078,1.12738,0.92017,5.82708e-05,5.82708e-05,5.82708e-05
93,30031.3,1.60464,1.11092,0.90994,0.59865,0.45626,0.50124,0.32501,1.59007,1.11168,0.9158,5.24496e-05,5.24496e-05,5.24496e-05
94,30331,1.56822,1.07494,0.90496,0.58799,0.45984,0.50118,0.32247,1.58383,1.10743,0.91429,4.66284e-05,4.66284e-05,4.66284e-05
95,30628.4,1.57485,1.09052,0.90531,0.61511,0.44777,0.49983,0.32275,1.59447,1.10438,0.9151,4.08072e-05,4.08072e-05,4.08072e-05
96,30929.4,1.5741,1.07562,0.90612,0.62212,0.46111,0.5078,0.32548,1.58093,1.09532,0.91395,3.4986e-05,3.4986e-05,3.4986e-05
97,31228.4,1.57114,1.0665,0.90296,0.63194,0.45058,0.50237,0.32008,1.5923,1.10047,0.91542,2.91648e-05,2.91648e-05,2.91648e-05
98,31526.3,1.57384,1.07368,0.9031,0.62186,0.45488,0.50443,0.32619,1.57748,1.09384,0.9133,2.33436e-05,2.33436e-05,2.33436e-05
99,31825.3,1.56513,1.07521,0.90043,0.59467,0.46423,0.50288,0.32347,1.58761,1.09763,0.91514,1.75224e-05,1.75224e-05,1.75224e-05
100,32126.2,1.57918,1.07125,0.90554,0.62858,0.45105,0.50479,0.32506,1.58164,1.09592,0.91421,1.17012e-05,1.17012e-05,1.17012e-05
